,이름,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,구우편번호,신우편번호,경도,위도
2172,연세대맛나샘스낵 ,연세대맛나샘스낵,,음식,분식,서울특별시,서대문구,신촌동,신촌동,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로,서울특별시 서대문구 연세로 50,120749,3722.0,126.942916817516,37.5638006863037
2173,시골장터 ,시골장터,,음식,한식,서울특별시,서대문구,충현동,충정로2가,서울특별시 서대문구 충정로2가 86-2,서울특별시 서대문구 충정로11길,서울특별시 서대문구 충정로11길 11,120012,3736.0,126.965701183617,37.5655162464384
2174,누나네포차 ,누나네포차,,음식,닭/오리요리,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 53-29,서울특별시 서대문구 연세로7안길,서울특별시 서대문구 연세로7안길 47,120834,3787.0,126.934143143374,37.5583335878644
2175,2046오리엔탈그릴 현대백화점신촌점,2046오리엔탈그릴,현대백화점신촌점,음식,한식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 30-33,서울특별시 서대문구 신촌로,서울특별시 서대문구 신촌로 83,120706,3789.0,126.935827820491,37.556069154454
2176,롤집 ,롤집,,음식,한식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 2-33,서울특별시 서대문구 명물길,서울특별시 서대문구 명물길 41,120833,3776.0,126.938575390054,37.5586528406283
2177,철길옆닭이야기 ,철길옆닭이야기,,음식,유흥주점,서울특별시,서대문구,충현동,미근동,서울특별시 서대문구 미근동 215,서울특별시 서대문구 충정로6길,서울특별시 서대문구 충정로6길 59,120020,3739.0,126.968518717758,37.5631261073731
2178,치즈문 ,치즈문,,음식,유흥주점,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 대현동 34-38,서울특별시 서대문구 이화여대길,서울특별시 서대문구 이화여대길 88-13,120808,3765.0,126.943805461082,37.5593845352336
2179,신대방미쓰리 ,신대방미쓰리,,음식,한식,서울특별시,서대문구,북가좌2동,북가좌동,서울특별시 서대문구 북가좌동 3-54,서울특별시 서대문구 증가로24마길,서울특별시 서대문구 증가로24마길 47,120130,3668.0,126.919041662256,37.5828126032559
2180,렛고 ,렛고,,음식,양식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 52-158,서울특별시 서대문구 연세로11길,서울특별시 서대문구 연세로11길 14,120834,3788.0,126.936011491879,37.5590712718329
2181,한상차림연세 세브란스점,한상차림연세,세브란스점,음식,한식,서울특별시,서대문구,신촌동,신촌동,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로,서울특별시 서대문구 연세로 50,120749,3722.0,126.940811573931,37.5613940631953
2182,서대문외할머니라면 ,서대문외할머니라면,,음식,분식,서울특별시,서대문구,충현동,미근동,서울특별시 서대문구 미근동 215,서울특별시 서대문구 충정로6길,서울특별시 서대문구 충정로6길 59,120020,3739.0,126.968518717758,37.5631261073731
2183,하루엔소쿠 ,하루엔소쿠,,음식,양식,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 56,서울특별시 서대문구 통일로,서울특별시 서대문구 통일로 341,120853,3731.0,126.950997544925,37.5808303103049
2184,떼뮤즐레트 ,떼뮤즐레트,,음식,양식,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 188-71,서울특별시 서대문구 연희맛로,서울특별시 서대문구 연희맛로 24,120825,3708.0,126.930342805714,37.5668590832836
2185,영희네집 ,영희네집,,음식,유흥주점,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 409-47,서울특별시 서대문구 거북골로,서울특별시 서대문구 거북골로 19-1,120100,3662.0,126.925147667323,37.5802103091218
2186,떼르드 ,떼르드,,음식,양식,서울특별시,서대문구,신촌동,신촌동,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로,서울특별시 서대문구 연세로 50,120749,3722.0,126.942916817516,37.5638006863037
2187,막내횟집 ,막내횟집,,음식,일식/수산물,서울특별시,서대문구,충현동,미근동,서울특별시 서대문구 미근동 90-4,서울특별시 서대문구 충정로6안길,서울특별시 서대문구 충정로6안길 6-2,120020,3739.0,126.967689910561,37.5624881343054
2188,고메 ,고메,,음식,한식,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 132-51,서울특별시 서대문구 연희맛로,서울특별시 서대문구 연희맛로 33,120825,3703.0,126.930564256525,37.5679963971755
2189,반지하라운지 ,반지하라운지,,음식,유흥주점,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 409-46,서울특별시 서대문구 거북골로,서울특별시 서대문구 거북골로 21-5,120100,3662.0,126.925206210648,37.5800756868752
2190,홍은떡볶이 ,홍은떡볶이,,음식,분식,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 274-4,서울특별시 서대문구 모래내로,서울특별시 서대문구 모래내로 347-2,120100,3654.0,126.934780368086,37.5811446042348
2191,노다지 ,노다지,,음식,한식,서울특별시,서대문구,충현동,충정로2가,서울특별시 서대문구 충정로2가 115-8,서울특별시 서대문구 충정로,서울특별시 서대문구 충정로 63-1,120012,3736.0,126.965249730464,37.5646022392374
2192,신수정가마솥설렁탕 ,신수정가마솥설렁탕,,음식,한식,서울특별시,서대문구,남가좌2동,남가좌동,서울특별시 서대문구 남가좌동 190-57,서울특별시 서대문구 가재울로,서울특별시 서대문구 가재울로 73,120120,3710.0,126.920643797542,37.5761415831447
2193,은혜식당 ,은혜식당,,음식,한식,서울특별시,서대문구,북가좌2동,북가좌동,서울특별시 서대문구 북가좌동 347-43,서울특별시 서대문구 거북골로24길,서울특별시 서대문구 거북골로24길 1,120130,3680.0,126.907073453708,37.5797740332068
2194,연세로갈매기 ,연세로갈매기,,음식,한식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 53-7,서울특별시 서대문구 연세로9길,서울특별시 서대문구 연세로9길 43,120834,3787.0,126.934365502744,37.5586149172921
2195,히비야 ,히비야,,음식,한식,서울특별시,서대문구,충현동,충정로3가,서울특별시 서대문구 충정로3가 465,서울특별시 서대문구 서소문로,서울특별시 서대문구 서소문로 27,120013,3741.0,126.964845533717,37.5602736986601
2196,원조소문난곱창 ,원조소문난곱창,,음식,한식,서울특별시,서대문구,남가좌1동,남가좌동,서울특별시 서대문구 남가좌동 291-28,서울특별시 서대문구 수색로,서울특별시 서대문구 수색로 28-5,120805,3712.0,126.915621453753,37.5696080955377
2197,땅땅치킨 ,땅땅치킨,,음식,닭/오리요리,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 398-10,서울특별시 서대문구 가좌로,서울특별시 서대문구 가좌로 102,120848,3659.0,126.92678741297,37.5819191757218
2198,코모도 ,코모도,,음식,한식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 57-5,서울특별시 서대문구 연세로7길,서울특별시 서대문구 연세로7길 27,120834,3789.0,126.9352068926,37.5575502716563
2199,가례원 ,가례원,,음식,분식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 62-13,서울특별시 서대문구 연세로5다길,서울특별시 서대문구 연세로5다길 12,120834,3789.0,126.934847803968,37.5565378681787
2200,소림마라 서대문점,소림마라,서대문점,음식,중식,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 155-6,서울특별시 서대문구 모래내로,서울특별시 서대문구 모래내로 464,120855,3729.0,126.946287523291,37.5856629669185
2201,골목포차 ,골목포차,,음식,유흥주점,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은동 9-77,서울특별시 서대문구 홍은중앙로,서울특별시 서대문구 홍은중앙로 100-35,120841,3605.0,126.948869342009,37.5993276633556
2202,마당 ,마당,,음식,한식,서울특별시,서대문구,충현동,충정로2가,서울특별시 서대문구 충정로2가 36,서울특별시 서대문구 충정로11길,서울특별시 서대문구 충정로11길 22,120012,3735.0,126.965078566396,37.5655198004091
2203,샐러디 연세대점,샐러디,연세대점,음식,패스트푸드,서울특별시,서대문구,신촌동,신촌동,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로,서울특별시 서대문구 연세로 50,120749,3722.0,126.942916817516,37.5638006863037
2204,식도락식당 ,식도락식당,,음식,한식,서울특별시,서대문구,북가좌1동,북가좌동,서울특별시 서대문구 북가좌동 382-18,서울특별시 서대문구 수색로10길,서울특별시 서대문구 수색로10길 12-1,120130,3714.0,126.905412166528,37.5757039852752
2205,쿠킹팩토리코퍼레이션 ,쿠킹팩토리코퍼레이션,,음식,한식,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 대현동 60-7,서울특별시 서대문구 이화여대8길,서울특별시 서대문구 이화여대8길 3,120808,3764.0,126.946053850812,37.5588640039904
2206,윤뽕씨네 ,윤뽕씨네,,음식,분식,서울특별시,서대문구,충현동,충정로2가,서울특별시 서대문구 충정로2가 91-2,서울특별시 서대문구 충정로,서울특별시 서대문구 충정로 71,120012,3736.0,126.965674080884,37.5650204365918
2207,봉구비어증산역점40 ,봉구비어증산역점40,,음식,유흥주점,서울특별시,서대문구,북가좌2동,북가좌동,서울특별시 서대문구 북가좌동 293-4,서울특별시 서대문구 응암로,서울특별시 서대문구 응암로 94,120812,3682.0,126.912555713406,37.5811491867917
2208,라임 ,라임,,음식,일식/수산물,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 13-4,서울특별시 서대문구 연세로4길,서울특별시 서대문구 연세로4길 41,120833,3777.0,126.938731710347,37.5580054972836
2209,텍사스아메리카노 ,텍사스아메리카노,,음식,양식,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 90-20,서울특별시 서대문구 통일로27길,서울특별시 서대문구 통일로27길 9,120853,3730.0,126.948889321894,37.5834155527623
2210,우드스탁 ,우드스탁,,음식,양식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 52-69,서울특별시 서대문구 연세로7길,서울특별시 서대문구 연세로7길 28-8,120834,3788.0,126.93530233354,37.5580016521587
2211,에브리브런치 ,에브리브런치,,음식,유흥주점,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 629,서울특별시 서대문구 홍제천로6길,서울특별시 서대문구 홍제천로6길 32,120832,3700.0,126.926226643202,37.574453499032
2212,페이안컴퍼니 ,페이안컴퍼니,,음식,중식,서울특별시,서대문구,남가좌2동,남가좌동,서울특별시 서대문구 남가좌동 5-108,서울특별시 서대문구 명지대3길,서울특별시 서대문구 명지대3길 30,120800,3672.0,126.922120429999,37.5820838886619
2213,각자의새벽 ,각자의새벽,,음식,양식,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 189-16,서울특별시 서대문구 연희맛로,서울특별시 서대문구 연희맛로 17-13,120825,3707.0,126.929076337171,37.5667665079298
2214,포메인홍제점 홍제점,포메인홍제점,홍제점,음식,별식/퓨전요리,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 469,서울특별시 서대문구 통일로,서울특별시 서대문구 통일로 397,120090,3730.0,126.947380558663,37.5852312117832
2215,갬성꼬치 ,갬성꼬치,,음식,한식,서울특별시,서대문구,남가좌2동,남가좌동,서울특별시 서대문구 남가좌동 5-154,서울특별시 서대문구 명지대3길,서울특별시 서대문구 명지대3길 12,120800,3672.0,126.923102838982,37.5822640522826
2216,언플러그드 ,언플러그드,,음식,한식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 30-33,서울특별시 서대문구 신촌로,서울특별시 서대문구 신촌로 83,120706,3789.0,126.935827820491,37.556069154454
2217,닭발의고향 ,닭발의고향,,음식,닭/오리요리,서울특별시,서대문구,홍제3동,홍제동,서울특별시 서대문구 홍제동 266-6,서울특별시 서대문구 세무서7길,서울특별시 서대문구 세무서7길 8,120090,3624.0,126.946467144299,37.5913951581911
2218,다미칼국수 ,다미칼국수,,음식,분식,서울특별시,서대문구,신촌동,대신동,서울특별시 서대문구 대신동 90-7,서울특별시 서대문구 성산로,서울특별시 서대문구 성산로 537,120160,3721.0,126.944901746091,37.5643140142486
2219,대박감자탕 ,대박감자탕,,음식,한식,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 334-19,서울특별시 서대문구 홍제내길,서울특별시 서대문구 홍제내길 144,120090,3640.0,126.93716798157,37.588401443313
2220,같이 ,같이,,음식,한식,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 95-50,서울특별시 서대문구 증가로,서울특별시 서대문구 증가로 26,120824,3698.0,126.930766652109,37.5704670732915
